"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Goodluck India Limited","61.55","38.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161036_525051_08102021022234_WEB.xml"
"Antarctica Limited","30.78","69.22",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161039_525066_08102021022800_WEB.xml"
"Sigma Solve Limited","73.22","26.79",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161041_525116_08102021023822_WEB.xml"
"Wealth First Portfolio Managers Limited","74","25.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161042_525120_08102021023915_WEB.xml"
"Aavas Financiers Limited","39.22","60.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161043_525138_08102021024510_WEB.xml"
"Precision Camshafts Limited","65.37","34.63",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161044_525154_08102021025233_WEB.xml"
"NACL Industries Limited","64.16","35.84",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161045_525185_08102021030250_WEB.xml"
"Bcl Industries Limited","61.36","38.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161047_525219_08102021031258_WEB.xml"
"Mukand Engineers Limited","52.74","47.26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161049_525233_08102021031807_WEB.xml"
"Dabur India Limited","67.36","32.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161050_525238_08102021031907_WEB.xml"
"Simplex Infrastructures Limited","49.82","50.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161051_525241_08102021031935_WEB.xml"
"Ujjivan Small Finance Bank Limited","83.32","16.68",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161052_525254_08102021032310_WEB.xml"
"Huhtamaki India Limited","67.73","32.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161053_525268_08102021032851_WEB.xml"
"Omfurn India Limited","73.4","26.6",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161055_525311_08102021033750_WEB.xml"
"Bhansali Engineering Polymers Limited","56.45","43.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161056_525315_08102021033933_WEB.xml"
"Gujarat Narmada Valley Fertilizers and Chemicals Limited","41.18","58.82",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161057_525317_08102021034021_WEB.xml"
"Jayshree Tea & Industries Limited","50.38","49.62",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161058_525319_08102021034044_WEB.xml"
"Xpro India Limited","50.02","49.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161061_525343_08102021034833_WEB.xml"
"Mcnally Bharat Engineering Company Limited","32.79","67.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161062_525375_08102021035414_WEB.xml"
"Eimco Elecon (India) Limited","74.06","25.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161063_525380_08102021035548_WEB.xml"
"Bigbloc Construction Limited","71.09","28.91",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161064_525382_08102021035616_WEB.xml"
"GlaxoSmithKline Pharmaceuticals Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161065_525393_08102021035808_WEB.xml"
"Indian Railway Catering And Tourism Corporation Limited","67.4","32.6",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161066_525396_08102021035811_WEB.xml"
"Usha Martin Limited","50.13","49.87",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161067_525400_08102021035938_WEB.xml"
"Cupid Limited","45.06","54.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161068_525408_08102021040054_WEB.xml"
"BIRLASOFT LIMITED","40.66","59.12",,"0.21","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161069_525412_08102021040135_WEB.xml"
"SJVN Limited","86.77","13.23",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161070_525415_08102021040213_WEB.xml"
"Williamson Magor & Company Limited","62.01","37.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161071_525417_08102021040233_WEB.xml"
"Jindal Drilling And Industries Limited","67.42","32.58",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161072_525421_08102021040341_WEB.xml"
"Indian Metals & Ferro Alloys Limited","58.69","41.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161075_525450_08102021040804_WEB.xml"
"Muthoot Finance Limited","73.37","26.63",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161076_525452_08102021040816_WEB.xml"
"Hindustan Motors Limited","32.34","67.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Damodar Industries Limited","70.63","29.37",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161079_525473_08102021041835_WEB.xml"
"Mahamaya Steel Industries Limited","70.41","29.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161081_525477_08102021042021_WEB.xml"
"Madras Fertilizers Limited","85.27","14.72",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161083_525482_08102021042308_WEB.xml"
"Mazagon Dock Shipbuilders Limited","84.83","15.17",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161084_525485_08102021042508_WEB.xml"
"Natco Pharma Limited","48.87","51.13",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161086_525495_08102021042704_WEB.xml"
"TD Power Systems Limited","58.73","40.66",,"0.61","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161087_525497_08102021042715_WEB.xml"
"SMS Pharmaceuticals Limited","67.29","32.71",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161090_525521_08102021043647_WEB.xml"
"K.P.I. Global Infrastructure Limited","54.32","45.68",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161091_525527_08102021043919_WEB.xml"
"MIC Electronics Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161092_525539_08102021044141_WEB.xml"
"Fertilizers and Chemicals Travancore Limited","90","10",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161093_525551_08102021044415_WEB.xml"
"Dollar Industries Limited","72.91","27.09",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161095_525564_08102021044642_WEB.xml"
"Rain Industries Limited","41.14","58.86",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161096_525573_08102021044804_WEB.xml"
"Yuken India Limited","52.5","47.5",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161097_525578_08102021044846_WEB.xml"
"ARSS Infrastructure Projects Limited","46.7","53.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161099_525589_08102021045050_WEB.xml"
"MBL Infrastructures Limited","68.49","31.51",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161100_525594_08102021045136_WEB.xml"
"ANDHRA PAPER LIMITED","72.2","27.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161103_525602_08102021045429_WEB.xml"
"Eastern Silk Industries Limited","51.28","48.72",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161104_525606_08102021045503_WEB.xml"
"Punjab National Bank","73.15","26.85",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161105_525609_08102021045530_WEB.xml"
"Housing Development Finance Corporation Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161106_525633_08102021050017_WEB.xml"
"Srikalahasthi Pipes Limited","48.15","51.85",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161107_525640_08102021050256_WEB.xml"
"Vertoz Advertising Limited","56.33","43.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161109_525666_08102021051542_WEB.xml"
"LCC Infotech Limited","45.88","54.12",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161111_525675_08102021051906_WEB.xml"
"Mahickra Chemicals Limited","50.61","49.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161112_525679_08102021052025_WEB.xml"
"Century Plyboards (India) Limited","73.04","26.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161114_525687_08102021052218_WEB.xml"
"Bharat Dynamics Limited","74.93","25.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161115_525691_08102021052326_WEB.xml"
"Sequent Scientific Limited","53.52","45.88",,"0.6","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161116_525698_08102021052931_WEB.xml"
"Cerebra Integrated Technologies Limited","7.1","92.9",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161117_525703_08102021053101_WEB.xml"
"Refex Industries Limited","49.72","50.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161118_525705_08102021053105_WEB.xml"
"Vishnu Chemicals Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161120_525729_08102021053642_WEB.xml"
"Rupa & Company Limited","73.28","26.72",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161121_525732_08102021053802_WEB.xml"
"Antony Waste Handling Cell Limited","46.23","53.77",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161122_525744_08102021054157_WEB.xml"
"BOROSIL RENEWABLES LIMITED","61.74","38.26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161123_525766_08102021054827_WEB.xml"
"Graphite India Limited","65.34","34.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161124_525777_08102021055250_WEB.xml"
"Prakash Steelage Limited","48.19","51.81",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161125_525793_08102021060031_WEB.xml"
"Symphony Limited","73.25","26.75",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161126_525798_08102021060307_WEB.xml"
"UltraTech Cement Limited","59.96","39.95",,"0.09","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161128_525801_08102021060517_WEB.xml"
"Sadbhav Infrastructure Project Limited","70.34","29.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161129_525810_08102021060711_WEB.xml"
"Control Print Limited","51.78","48.22",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161131_525833_08102021061314_WEB.xml"
"Healthcare Global Enterprises Limited","68.41","31.6",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161132_525835_08102021061336_WEB.xml"
"Mindpool Technologies Limited","71.27","28.73",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161133_525843_08102021061428_WEB.xml"
"Kiri Industries Limited","34.98","64.96",,"0.06","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161134_525857_08102021061853_WEB.xml"
"Asian Hotels (East) Limited","65.63","34.37",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161135_525881_08102021062545_WEB.xml"
"Advani Hotels & Resorts (India) Limited","50.17","49.83",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161136_525897_08102021063144_WEB.xml"
"G R Infraprojects Limited","86.54","13.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161137_525906_08102021063329_WEB.xml"
"Mangalam Drugs And Organics Limited","50.53","49.47",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161138_525910_08102021063819_WEB.xml"
"IZMO Limited","28.69","71.31",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161139_525913_08102021063945_WEB.xml"
"Central Bank of India","93.08","6.92",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161140_525941_08102021065010_WEB.xml"
"Safari Industries (India) Limited","49.9","50.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161141_525952_08102021065353_WEB.xml"
"Aditya Birla Fashion and Retail Limited","56.13","43.34",,"0.53","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161142_525978_08102021070711_WEB.xml"
"Tata Consultancy Services Limited","72.19","27.81",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161143_525982_08102021070954_WEB.xml"
"Ducon Infratechnologies Limited","65.34","34.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161144_525997_08102021072006_WEB.xml"
"SBI Life Insurance Company Limited","55.69","44.31",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161145_526025_08102021074619_WEB.xml"
"Shemaroo Entertainment Limited","65.88","34.12",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161146_526039_08102021080326_WEB.xml"
"Macrotech Developers Limited","88.5","11.5",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161148_526071_08102021091722_WEB.xml"
"D P Wires Limited","70.37","29.62",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161149_526083_08102021094711_WEB.xml"
"ABB Power Products and Systems India Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161150_526085_08102021094753_WEB.xml"
"ITC Limited","0","100","0","0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Sakar Healthcare Limited","67.54","32.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161152_526133_09102021104343_WEB.xml"
"Jocil Limited","55.02","44.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161153_526143_09102021104646_WEB.xml"
"Cartrade Tech Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161155_526173_09102021112250_WEB.xml"
"GPT Infraprojects Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161158_526186_09102021113412_WEB.xml"
"Shiva Texyarn Limited","74.04","25.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161159_526194_09102021113629_WEB.xml"
"Aro Granite Industries Limited","41.06","58.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161160_526199_09102021113813_WEB.xml"
"Kanoria Chemicals & Industries Limited","74.43","25.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161161_526228_09102021115907_WEB.xml"
"Impex Ferro Tech Limited","69.1","30.9",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161162_526239_09102021120131_WEB.xml"
"Debock Sales And Marketing Limited","64.79","35.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161163_526250_09102021120626_WEB.xml"
"Gateway Distriparks Limited","32.14","67.86",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161164_526254_09102021120926_WEB.xml"
"IFB Industries Limited","74.96","25.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161165_526271_09102021121744_WEB.xml"
"La Opala RG Limited","65.64","34.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161169_526301_09102021123457_WEB.xml"
"Aries Agro Limited","52.66","47.34",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161170_526318_09102021124117_WEB.xml"
"Kalyani Investment Company Limited","74.97","25.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161171_526329_09102021125242_WEB.xml"
"Aakash Exploration Services Limited","73.33","26.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161174_526351_09102021010454_WEB.xml"
"Sarveshwar Foods Limited","73.67","26.33",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161175_526355_09102021010652_WEB.xml"
"Cubex Tubings Limited","44.42","55.58",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161176_526363_09102021011550_WEB.xml"
"Arman Financial Services Limited","27.45","72.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161177_526388_09102021013631_WEB.xml"
"Ambika Cotton Mills Limited","50.17","49.83",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161179_526400_09102021014646_WEB.xml"
"Malu Paper Mills Limited","69.95","30.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161182_526427_09102021020130_WEB.xml"
"Banco Products (I) Limited","67.88","32.12",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161185_526443_09102021021131_WEB.xml"
"The Grob Tea Company Limited","74.93","25.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161186_526448_09102021021327_WEB.xml"
"Pansari Developers Limited","73.93","26.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161187_526456_09102021021550_WEB.xml"
"Nandani Creation Limited","70.29","29.71",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161190_526471_09102021022328_WEB.xml"
"Osia Hyper Retail Limited","62.99","37.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161191_526483_09102021023320_WEB.xml"
"Action Construction Equipment Limited","66.76","33.24",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161192_526485_09102021023325_WEB.xml"
"Kitex Garments Limited","55.57","44.43",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161194_526518_09102021025240_WEB.xml"
"MIG Media Neurons Limited","99.45","0.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161195_526520_09102021025347_WEB.xml"
"Navneet Education Limited","62.84","37.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161196_526524_09102021025432_WEB.xml"
"Lakshmi Finance & Industrial Corporation Limited","47","52.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161197_526526_09102021025445_WEB.xml"
"Swelect Energy Systems Limited","56.37","43.63",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161198_526529_09102021025655_WEB.xml"
"Balaji Telefilms Limited","34.34","65.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161199_526538_09102021030158_WEB.xml"
